Gene,System
abeM,AbeM
acrB,AcrA-AcrB-TolC
acrD,RND
adeF,AdeFGH
adeH,AdeFGH
adeI,AdeIJK
adeJ,AdeIJK
adeK,AdeIJK
adeN,AdeIJK
amrB,AmrAB-OprM
AxyX,AxyXY-OprZ
baeR,MdtABC
baeS,MdtABC
ceoA,CeoAB-OpcM
ceoB,CeoAB-OpcM
cmeB,CmeABC
cmlA1,CMR
cmlA5,CMR
CpxR,MexAB-OprM
efpA,MFS
farA,farAB
KpnG,RND
KpnH,RND
macB,ABC
mdtB,MdtABC-TolC 
mdtC,MdtABC-TolC
mefC,mef-msr
mel,mef-msr
msrE,mef-msr
MexA,MexAB-OprM
MexB,MexAB-OprM
MexC,MexCD-OprJ
MexD,MexCD-OprJ
MexE,MexEF-OprN
MexF,MexEF-OprN
mexH,MexGHI-OpmD
mexI,MexGHI-OpmD
mexJ,MexJK-OprM
MexK,MexJK-OprM
mexL,MexJK-OprM
mexM,MexMN-OprM
mexN,MexMN-OprM
mexP,MexPQ-OpmE
mexQ,MexPQ-OpmE
mexV,MexVW-OprM
MexW,MexVW-OprM
mexY,MexXY-OprM
msbA,ABC
mtrA,MtrCDE
MuxA,MuxABC-OpmB
MuxB,MuxABC-OpmB
MuxC,MuxABC-OpmB
novA,ABC
opcM,CeoAB-OpcM
OpmB,MuxABC-OpmB
opmE,MexPQ-OpmE
oprA,MexXY-OprA
OprJ,MexCD-OprJ
OprM,MexAB-OprM
OprN,MexEF-OprN
OprZ,AxyXY-OprZ
oqxB,OqxAB
PmpM,MATE
QepA2,QepA
QepA4,QepA
rosA,RosAB
rosB,RosAB
smeA,smeABC
smeB,smeABC
smeC,smeABC
smeD,smeDEF
smeE,smeDEF
smeF,smeDEF
smeR,RND
smeS,RND
soxR,MexGHI-OpmD
srmB,ABC
tet(39),tet
tet(A),tet
tet(C),tet
tet(E),tet
tet(G),tet
TriA,TriABC-OpmH
TriB,TriABC-OpmH
TriC,TriABC-OpmH
Pseudomonas_aeruginosa_CpxR,MexAB-OprM
YajC,AcrA-AcrB-TolC
remove, remove
